index,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
56,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1978,76.501,
57,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1979,83.368,
58,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1980,95.422,
59,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1981,99.479,
60,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1982,95.79,
61,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1983,112.754,
62,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1984,114.296,
63,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1985,125.515,
64,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1986,132.674,
65,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1987,140.866,
66,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1988,161.565,
67,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1989,176.613,
68,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1990,198.063,
69,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1991,216.468,
70,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1992,233.118,
71,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1993,246.76,
72,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1994,262.612,
73,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1995,259.602,
74,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1996,293.664,
75,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1997,308.676,
76,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1998,387.179,D
77,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1999,386.848,D
78,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2000,452.207,D
79,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2001,467.919,D
80,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2002,494.223,D
81,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2003,493.458,D
82,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2004,541.335,D
83,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2005,564.235,D
84,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2006,591.511,D
85,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2007,607.639,D
86,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2008,637.921,D
87,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2009,651.966,D
88,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2010,710.008,D
89,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2011,730.301,D
90,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2012,768.307,D
91,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2013,806.565,D
92,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2014,821.773,D
93,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2015,830.095,D
94,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2016,844.63,D
95,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2017,845.174,D
96,AUT,HEALTHEXP,TOT,PC_GDP,A,1970,4.838,
97,AUT,HEALTHEXP,TOT,PC_GDP,A,1971,4.77,
98,AUT,HEALTHEXP,TOT,PC_GDP,A,1972,4.765,
99,AUT,HEALTHEXP,TOT,PC_GDP,A,1973,4.857,
100,AUT,HEALTHEXP,TOT,PC_GDP,A,1974,5.086,
101,AUT,HEALTHEXP,TOT,PC_GDP,A,1975,6.507,
102,AUT,HEALTHEXP,TOT,PC_GDP,A,1976,6.74,
103,AUT,HEALTHEXP,TOT,PC_GDP,A,1977,6.681,
104,AUT,HEALTHEXP,TOT,PC_GDP,A,1978,6.949,
105,AUT,HEALTHEXP,TOT,PC_GDP,A,1979,6.924,
106,AUT,HEALTHEXP,TOT,PC_GDP,A,1980,7.022,
107,AUT,HEALTHEXP,TOT,PC_GDP,A,1981,6.024,
108,AUT,HEALTHEXP,TOT,PC_GDP,A,1982,5.999,
109,AUT,HEALTHEXP,TOT,PC_GDP,A,1983,5.832,
110,AUT,HEALTHEXP,TOT,PC_GDP,A,1984,5.879,
111,AUT,HEALTHEXP,TOT,PC_GDP,A,1985,6.008,
112,AUT,HEALTHEXP,TOT,PC_GDP,A,1986,6.115,
113,AUT,HEALTHEXP,TOT,PC_GDP,A,1987,6.405,
114,AUT,HEALTHEXP,TOT,PC_GDP,A,1988,6.397,
115,AUT,HEALTHEXP,TOT,PC_GDP,A,1989,6.54,
116,AUT,HEALTHEXP,TOT,PC_GDP,A,1990,7.718,B
117,AUT,HEALTHEXP,TOT,PC_GDP,A,1991,7.782,
118,AUT,HEALTHEXP,TOT,PC_GDP,A,1992,8.077,
119,AUT,HEALTHEXP,TOT,PC_GDP,A,1993,8.601,
120,AUT,HEALTHEXP,TOT,PC_GDP,A,1994,8.99,
121,AUT,HEALTHEXP,TOT,PC_GDP,A,1995,8.924,
122,AUT,HEALTHEXP,TOT,PC_GDP,A,1996,8.884,
123,AUT,HEALTHEXP,TOT,PC_GDP,A,1997,8.984,
124,AUT,HEALTHEXP,TOT,PC_GDP,A,1998,9.15,
125,AUT,HEALTHEXP,TOT,PC_GDP,A,1999,9.302,
126,AUT,HEALTHEXP,TOT,PC_GDP,A,2000,9.204,
127,AUT,HEALTHEXP,TOT,PC_GDP,A,2001,9.269,
128,AUT,HEALTHEXP,TOT,PC_GDP,A,2002,9.395,
129,AUT,HEALTHEXP,TOT,PC_GDP,A,2003,9.547,
130,AUT,HEALTHEXP,TOT,PC_GDP,A,2004,9.709,B
131,AUT,HEALTHEXP,TOT,PC_GDP,A,2005,9.627,
132,AUT,HEALTHEXP,TOT,PC_GDP,A,2006,9.531,
133,AUT,HEALTHEXP,TOT,PC_GDP,A,2007,9.532,
134,AUT,HEALTHEXP,TOT,PC_GDP,A,2008,9.726,
135,AUT,HEALTHEXP,TOT,PC_GDP,A,2009,10.226,
136,AUT,HEALTHEXP,TOT,PC_GDP,A,2010,10.221,
137,AUT,HEALTHEXP,TOT,PC_GDP,A,2011,10.026,
138,AUT,HEALTHEXP,TOT,PC_GDP,A,2012,10.199,
139,AUT,HEALTHEXP,TOT,PC_GDP,A,2013,10.286,
140,AUT,HEALTHEXP,TOT,PC_GDP,A,2014,10.368,
141,AUT,HEALTHEXP,TOT,PC_GDP,A,2015,10.368,
142,AUT,HEALTHEXP,TOT,PC_GDP,A,2016,10.361,
143,AUT,HEALTHEXP,TOT,PC_GDP,A,2017,10.356,
144,AUT,HEALTHEXP,TOT,PC_GDP,A,2018,10.316,
145,AUT,HEALTHEXP,TOT,PC_GDP,A,2019,10.408,P
146,BEL,HEALTHEXP,TOT,PC_GDP,A,1970,3.856,D
147,BEL,HEALTHEXP,TOT,PC_GDP,A,1971,3.943,D
148,BEL,HEALTHEXP,TOT,PC_GDP,A,1972,4.098,D
149,BEL,HEALTHEXP,TOT,PC_GDP,A,1973,4.378,D
150,BEL,HEALTHEXP,TOT,PC_GDP,A,1974,4.443,D
151,BEL,HEALTHEXP,TOT,PC_GDP,A,1975,5.547,D
152,BEL,HEALTHEXP,TOT,PC_GDP,A,1976,5.755,D
153,BEL,HEALTHEXP,TOT,PC_GDP,A,1977,6.226,D
154,BEL,HEALTHEXP,TOT,PC_GDP,A,1978,6.416,D
155,BEL,HEALTHEXP,TOT,PC_GDP,A,1979,6.398,D
156,BEL,HEALTHEXP,TOT,PC_GDP,A,1980,6.181,D
157,BEL,HEALTHEXP,TOT,PC_GDP,A,1981,6.596,D
158,BEL,HEALTHEXP,TOT,PC_GDP,A,1982,6.824,D
159,BEL,HEALTHEXP,TOT,PC_GDP,A,1983,6.991,D
160,BEL,HEALTHEXP,TOT,PC_GDP,A,1984,6.833,D
161,BEL,HEALTHEXP,TOT,PC_GDP,A,1985,6.883,D
162,BEL,HEALTHEXP,TOT,PC_GDP,A,1986,7.054,D
163,BEL,HEALTHEXP,TOT,PC_GDP,A,1987,7.162,D
164,BEL,HEALTHEXP,TOT,PC_GDP,A,1988,7.161,D
165,BEL,HEALTHEXP,TOT,PC_GDP,A,1989,7.104,D
166,BEL,HEALTHEXP,TOT,PC_GDP,A,1990,7.147,D
167,BEL,HEALTHEXP,TOT,PC_GDP,A,1991,7.459,D
168,BEL,HEALTHEXP,TOT,PC_GDP,A,1992,7.639,D
169,BEL,HEALTHEXP,TOT,PC_GDP,A,1993,7.763,D
170,BEL,HEALTHEXP,TOT,PC_GDP,A,1994,7.56,D
171,BEL,HEALTHEXP,TOT,PC_GDP,A,1995,7.519,B
172,BEL,HEALTHEXP,TOT,PC_GDP,A,1996,7.814,
173,BEL,HEALTHEXP,TOT,PC_GDP,A,1997,7.675,
174,BEL,HEALTHEXP,TOT,PC_GDP,A,1998,7.797,
175,BEL,HEALTHEXP,TOT,PC_GDP,A,1999,7.963,
176,BEL,HEALTHEXP,TOT,PC_GDP,A,2000,7.999,
177,BEL,HEALTHEXP,TOT,PC_GDP,A,2001,8.15,
178,BEL,HEALTHEXP,TOT,PC_GDP,A,2002,8.318,
179,BEL,HEALTHEXP,TOT,PC_GDP,A,2003,9.208,B
180,BEL,HEALTHEXP,TOT,PC_GDP,A,2004,9.367,
181,BEL,HEALTHEXP,TOT,PC_GDP,A,2005,9.262,
182,BEL,HEALTHEXP,TOT,PC_GDP,A,2006,9.162,
183,BEL,HEALTHEXP,TOT,PC_GDP,A,2007,9.167,
184,BEL,HEALTHEXP,TOT,PC_GDP,A,2008,9.632,
185,BEL,HEALTHEXP,TOT,PC_GDP,A,2009,10.356,
186,BEL,HEALTHEXP,TOT,PC_GDP,A,2010,10.234,
187,BEL,HEALTHEXP,TOT,PC_GDP,A,2011,10.392,
188,BEL,HEALTHEXP,TOT,PC_GDP,A,2012,10.507,
189,BEL,HEALTHEXP,TOT,PC_GDP,A,2013,10.562,
190,BEL,HEALTHEXP,TOT,PC_GDP,A,2014,10.44,
191,BEL,HEALTHEXP,TOT,PC_GDP,A,2015,10.427,
192,BEL,HEALTHEXP,TOT,PC_GDP,A,2016,10.282,
193,BEL,HEALTHEXP,TOT,PC_GDP,A,2017,10.406,
194,BEL,HEALTHEXP,TOT,PC_GDP,A,2018,10.319,
195,BEL,HEALTHEXP,TOT,PC_GDP,A,2019,10.349,E
196,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2003,615.912,B
197,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2004,628.268,
198,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2005,634.089,
199,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2006,656.662,
200,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2007,691.171,
201,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2008,717.927,
202,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2009,743.549,
203,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2010,781.335,
204,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2011,804.492,
205,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2012,826.488,
206,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2013,875.827,
207,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2014,893.825,
208,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2015,907.434,
209,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2016,904.723,
210,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2017,953.995,
211,BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2018,972.179,
212,CAN,HEALTHEXP,TOT,PC_GDP,A,1970,6.258,
213,CAN,HEALTHEXP,TOT,PC_GDP,A,1971,6.512,
214,CAN,HEALTHEXP,TOT,PC_GDP,A,1972,6.431,
215,CAN,HEALTHEXP,TOT,PC_GDP,A,1973,6.126,
216,CAN,HEALTHEXP,TOT,PC_GDP,A,1974,6.036,
217,CAN,HEALTHEXP,TOT,PC_GDP,A,1975,6.493,B
218,CAN,HEALTHEXP,TOT,PC_GDP,A,1976,6.5,
219,CAN,HEALTHEXP,TOT,PC_GDP,A,1977,6.48,
220,CAN,HEALTHEXP,TOT,PC_GDP,A,1978,6.457,
221,CAN,HEALTHEXP,TOT,PC_GDP,A,1979,6.35,
222,CAN,HEALTHEXP,TOT,PC_GDP,A,1980,6.536,
223,CAN,HEALTHEXP,TOT,PC_GDP,A,1981,6.766,
224,CAN,HEALTHEXP,TOT,PC_GDP,A,1982,7.495,
225,CAN,HEALTHEXP,TOT,PC_GDP,A,1983,7.664,
226,CAN,HEALTHEXP,TOT,PC_GDP,A,1984,7.551,
227,CAN,HEALTHEXP,TOT,PC_GDP,A,1985,7.558,
228,CAN,HEALTHEXP,TOT,PC_GDP,A,1986,7.798,
229,CAN,HEALTHEXP,TOT,PC_GDP,A,1987,7.739,
230,CAN,HEALTHEXP,TOT,PC_GDP,A,1988,7.738,
231,CAN,HEALTHEXP,TOT,PC_GDP,A,1989,7.946,
232,CAN,HEALTHEXP,TOT,PC_GDP,A,1990,8.364,
233,CAN,HEALTHEXP,TOT,PC_GDP,A,1991,9.048,
234,CAN,HEALTHEXP,TOT,PC_GDP,A,1992,9.3,
235,CAN,HEALTHEXP,TOT,PC_GDP,A,1993,9.186,
236,CAN,HEALTHEXP,TOT,PC_GDP,A,1994,8.835,
237,CAN,HEALTHEXP,TOT,PC_GDP,A,1995,8.532,
238,CAN,HEALTHEXP,TOT,PC_GDP,A,1996,8.335,
239,CAN,HEALTHEXP,TOT,PC_GDP,A,1997,8.317,
240,CAN,HEALTHEXP,TOT,PC_GDP,A,1998,8.547,
241,CAN,HEALTHEXP,TOT,PC_GDP,A,1999,8.329,
242,CAN,HEALTHEXP,TOT,PC_GDP,A,2000,8.248,
243,CAN,HEALTHEXP,TOT,PC_GDP,A,2001,8.625,
244,CAN,HEALTHEXP,TOT,PC_GDP,A,2002,8.857,
245,CAN,HEALTHEXP,TOT,PC_GDP,A,2003,9.011,
246,CAN,HEALTHEXP,TOT,PC_GDP,A,2004,9.066,
247,CAN,HEALTHEXP,TOT,PC_GDP,A,2005,9.035,
248,CAN,HEALTHEXP,TOT,PC_GDP,A,2006,9.318,
249,CAN,HEALTHEXP,TOT,PC_GDP,A,2007,9.414,
250,CAN,HEALTHEXP,TOT,PC_GDP,A,2008,9.575,
251,CAN,HEALTHEXP,TOT,PC_GDP,A,2009,10.682,
252,CAN,HEALTHEXP,TOT,PC_GDP,A,2010,10.659,
253,CAN,HEALTHEXP,TOT,PC_GDP,A,2011,10.315,
254,CAN,HEALTHEXP,TOT,PC_GDP,A,2012,10.429,
255,CAN,HEALTHEXP,TOT,PC_GDP,A,2013,10.34,
256,CAN,HEALTHEXP,TOT,PC_GDP,A,2014,10.25,
257,CAN,HEALTHEXP,TOT,PC_GDP,A,2015,10.683,
258,CAN,HEALTHEXP,TOT,PC_GDP,A,2016,10.979,
259,CAN,HEALTHEXP,TOT,PC_GDP,A,2017,10.79,
260,CAN,HEALTHEXP,TOT,PC_GDP,A,2018,10.79,P
261,CAN,HEALTHEXP,TOT,PC_GDP,A,2019,10.79,P
262,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,1988,223.963,
263,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,1989,238.059,
264,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,1990,254.274,
265,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,1991,265.285,
266,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,1992,278.596,
267,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,1993,296.462,
268,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,1994,314.322,
269,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,1995,327.392,
270,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,1996,334.855,
271,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,1997,363.29,
272,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,1998,368.417,
273,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,1999,388.847,
274,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2000,406.989,
275,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2001,417.7,
276,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2002,438.762,
277,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2003,444.204,
278,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2004,477.106,
279,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2005,505.911,
280,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2006,544.159,
281,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2007,567.614,
282,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2008,584.815,
283,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2009,587.067,
284,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2010,630.669,
285,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2011,607.985,
286,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2012,613.751,
287,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2013,616.354,
288,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2014,661.359,B
289,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2015,656.492,
290,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2016,761.404,
291,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2017,772.157,
292,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2018,778.767,P
293,CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2019,795.389,P
294,CZE,HEALTHEXP,TOT,PC_GDP,A,1990,3.736,
295,CZE,HEALTHEXP,TOT,PC_GDP,A,1991,3.872,
296,CZE,HEALTHEXP,TOT,PC_GDP,A,1992,3.995,
297,CZE,HEALTHEXP,TOT,PC_GDP,A,1993,5.351,
298,CZE,HEALTHEXP,TOT,PC_GDP,A,1994,5.513,
299,CZE,HEALTHEXP,TOT,PC_GDP,A,1995,5.736,B
300,CZE,HEALTHEXP,TOT,PC_GDP,A,1996,5.62,
301,CZE,HEALTHEXP,TOT,PC_GDP,A,1997,5.631,
302,CZE,HEALTHEXP,TOT,PC_GDP,A,1998,5.62,
303,CZE,HEALTHEXP,TOT,PC_GDP,A,1999,5.796,
304,CZE,HEALTHEXP,TOT,PC_GDP,A,2000,5.718,B
305,CZE,HEALTHEXP,TOT,PC_GDP,A,2001,5.888,
306,CZE,HEALTHEXP,TOT,PC_GDP,A,2002,6.199,
307,CZE,HEALTHEXP,TOT,PC_GDP,A,2003,6.554,B
308,CZE,HEALTHEXP,TOT,PC_GDP,A,2004,6.385,
309,CZE,HEALTHEXP,TOT,PC_GDP,A,2005,6.381,
310,CZE,HEALTHEXP,TOT,PC_GDP,A,2006,6.196,
311,CZE,HEALTHEXP,TOT,PC_GDP,A,2007,6.016,
312,CZE,HEALTHEXP,TOT,PC_GDP,A,2008,6.36,
313,CZE,HEALTHEXP,TOT,PC_GDP,A,2009,7.293,
314,CZE,HEALTHEXP,TOT,PC_GDP,A,2010,6.928,
315,CZE,HEALTHEXP,TOT,PC_GDP,A,2011,6.977,
316,CZE,HEALTHEXP,TOT,PC_GDP,A,2012,7.028,
317,CZE,HEALTHEXP,TOT,PC_GDP,A,2013,7.807,B
318,CZE,HEALTHEXP,TOT,PC_GDP,A,2014,7.653,
319,CZE,HEALTHEXP,TOT,PC_GDP,A,2015,7.243,
320,CZE,HEALTHEXP,TOT,PC_GDP,A,2016,7.15,
321,CZE,HEALTHEXP,TOT,PC_GDP,A,2017,7.231,
322,CZE,HEALTHEXP,TOT,PC_GDP,A,2018,7.647,
323,CZE,HEALTHEXP,TOT,PC_GDP,A,2019,7.759,E
324,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,1990,14.462,
325,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,1991,16.583,
326,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,1992,24.368,
327,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,1993,39.262,
328,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,1994,50.957,
329,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,1995,83.447,B
330,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,1996,88.863,
331,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,1997,92.59,
332,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,1998,93.384,
333,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,1999,95.105,
334,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2000,104.579,B
335,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2001,123.424,
336,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2002,126.79,
337,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2003,144.488,
338,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2004,156.724,
339,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2005,168.988,
340,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2006,181.566,
341,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2007,226.256,
342,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2008,294.094,
343,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2009,309.091,
344,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2010,305.183,
345,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2011,306.723,
346,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2012,319.666,
347,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2013,332.654,B
348,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2014,361.148,
349,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2015,377.458,
350,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2016,401.268,
351,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2017,428.195,
352,CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2018,449.937,
353,DNK,HEALTHEXP,TOT,PC_GDP,A,1971,7.677,D
354,DNK,HEALTHEXP,TOT,PC_GDP,A,1972,7.768,D
355,DNK,HEALTHEXP,TOT,PC_GDP,A,1973,7.585,D
356,DNK,HEALTHEXP,TOT,PC_GDP,A,1974,8.291,D
357,DNK,HEALTHEXP,TOT,PC_GDP,A,1975,8.536,D
358,DNK,HEALTHEXP,TOT,PC_GDP,A,1976,8.441,D
359,DNK,HEALTHEXP,TOT,PC_GDP,A,1977,8.259,D
360,DNK,HEALTHEXP,TOT,PC_GDP,A,1978,8.377,D
361,DNK,HEALTHEXP,TOT,PC_GDP,A,1979,8.474,D
362,DNK,HEALTHEXP,TOT,PC_GDP,A,1980,8.416,
363,DNK,HEALTHEXP,TOT,PC_GDP,A,1981,8.575,
364,DNK,HEALTHEXP,TOT,PC_GDP,A,1982,8.624,
365,DNK,HEALTHEXP,TOT,PC_GDP,A,1983,8.418,
366,DNK,HEALTHEXP,TOT,PC_GDP,A,1984,7.97,
367,DNK,HEALTHEXP,TOT,PC_GDP,A,1985,7.947,
368,DNK,HEALTHEXP,TOT,PC_GDP,A,1986,7.734,
369,DNK,HEALTHEXP,TOT,PC_GDP,A,1987,8.054,
370,DNK,HEALTHEXP,TOT,PC_GDP,A,1988,8.191,
371,DNK,HEALTHEXP,TOT,PC_GDP,A,1989,8.061,
372,DNK,HEALTHEXP,TOT,PC_GDP,A,1990,8.038,
